,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,54,Private,145833,Some-college,13,Married-civ-spouse,Tech-support,Husband,White,Female,-59,4,40,United-States,<=50K
1,55,Private,129925,HS-grad,10,Married-civ-spouse,Machine-op-inspct,Own-child,White,Male,-110,0,40,United-States,<=50K
2,22,Local-gov,154491,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,-123,6,40,United-States,>50K
3,31,Private,319275,7th-8th,10,Never-married,Exec-managerial,Own-child,White,Male,-76,2,40,United-States,>50K
4,30,Self-emp-not-inc,45164,HS-grad,10,Never-married,Adm-clerical,Not-in-family,White,Female,-88,3,49,United-States,<=50K
5,40,Private,260884,HS-grad,16,Married-civ-spouse,Craft-repair,Unmarried,White,Male,-12,-1,51,United-States,<=50K
6,48,Private,178566,Some-college,10,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,-57,0,40,United-States,<=50K
7,61,Self-emp-not-inc,224497,Assoc-acdm,9,Married-civ-spouse,Other-service,Not-in-family,White,Male,-33,-5,40,United-States,<=50K
8,64,Local-gov,89458,9th,9,Divorced,Prof-specialty,Not-in-family,Black,Female,-58,1,40,United-States,<=50K
9,42,Private,211491,Assoc-acdm,10,Divorced,Adm-clerical,Unmarried,Black,Female,13575,2,40,Taiwan,>50K
10,71,?,67465,Bachelors,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,-110,6,40,United-States,>50K
11,23,Private,230197,HS-grad,14,Married-civ-spouse,Exec-managerial,Husband,White,Female,-10,-1,40,United-States,<=50K
12,36,Private,49958,HS-grad,9,Never-married,Prof-specialty,Unmarried,White,Male,-111,7,40,United-States,<=50K
13,50,?,169218,10th,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,-116,4,40,United-States,<=50K
14,35,?,447319,Bachelors,11,Married-civ-spouse,Adm-clerical,Own-child,White,Male,-158,6,38,United-States,>50K
15,65,Self-emp-not-inc,80360,Prof-school,10,Married-civ-spouse,Handlers-cleaners,Not-in-family,Black,Male,-133,6,39,United-States,<=50K
16,37,Federal-gov,39277,HS-grad,7,Married-civ-spouse,Protective-serv,Wife,White,Male,-61,4,50,United-States,<=50K
17,45,Federal-gov,273539,9th,10,Married-civ-spouse,?,Own-child,White,Male,-117,0,41,United-States,>50K
